requirement_id,business_capability,object_or_data,g7_app_or_api,endpoint_and_maturity,read_or_write,truth_owner,sandbox_evidence,reuse_mode,identified_gap,local_storage_needed,decision,approver
"FR-001","今日工作流","work/task read model; contract: 系统必须将未接手异常、临近时限任务、在途变化和到期事项组成统一工作流，支持按角色、组织、优先级、状态过滤；每条记录显示对象、原因、发生时间、新鲜度、责任和下一动作。","G7 facts composed with product work","target work/task scope absent; compose active asset/driver/telemetry scopes","READ","PRODUCT_DERIVED_FROM_G7_FACTS","WORKBENCH_INVENTORY_ONLY: asset, driver, assignment, telemetry, site, tag and attribute scopes are active and SANDBOX-supported; no G7 work/task scope was found. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","LOCAL_READ_PROJECTION","G7-GAP-001;G7-GAP-002","PROPOSED projection with source ID/version/freshness/replay only","BLOCKED_PENDING_CONTRACT_AND_APPROVAL","UNASSIGNED: Product + G7 integration + data owner"
"FR-002","全局命令面板","work/task read model; contract: 用户必须能通过 Ctrl/Cmd + K 搜索车牌、司机、任务、地点和动作；结果按“对象、工作、命令”分组，权限不足的对象不得泄露摘要。","G7 facts composed with product work","target work/task scope absent; compose active asset/driver/telemetry scopes","READ","PRODUCT_DERIVED_FROM_G7_FACTS","WORKBENCH_INVENTORY_ONLY: asset, driver, assignment, telemetry, site, tag and attribute scopes are active and SANDBOX-supported; no G7 work/task scope was found. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","LOCAL_READ_PROJECTION","G7-GAP-001;G7-GAP-002","PROPOSED projection with source ID/version/freshness/replay only","BLOCKED_PENDING_CONTRACT_AND_APPROVAL","UNASSIGNED: Product + G7 integration + data owner"
"FR-003","持续上下文","work/task read model; contract: 用户选择任一记录后，右侧上下文抽屉必须保留对象身份、关键事实、关联工作和可执行动作；用户切换工作空间或返回列表时，选择状态可通过 URL 恢复。","G7 facts composed with product work","target work/task scope absent; compose active asset/driver/telemetry scopes","READ","PRODUCT_DERIVED_FROM_G7_FACTS","WORKBENCH_INVENTORY_ONLY: asset, driver, assignment, telemetry, site, tag and attribute scopes are active and SANDBOX-supported; no G7 work/task scope was found. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","LOCAL_READ_PROJECTION","G7-GAP-001;G7-GAP-002","PROPOSED projection with source ID/version/freshness/replay only","BLOCKED_PENDING_CONTRACT_AND_APPROVAL","UNASSIGNED: Product + G7 integration + data owner"
"FR-004","对象目录","vehicle/driver/site/address master data; contract: 系统必须提供车辆、司机、场站/地址的统一检索与详情，支持组织、标签、属性、外部 ID、状态和权限范围；车辆至少展示车牌、VIN、车型、载重/尺寸、能源类型和归属组织。","Assets, Vehicles, Drivers, Sites, Addresses, Tags, Attributes","POST /assets/_search; /vehicles/_search; /drivers/_search; /sites/_search; target scopes ACTIVE and SANDBOX-supported; release maturity unverified","READ","G7","WORKBENCH_INVENTORY_ONLY: relevant master-data and assignment read/write scopes are active and their SANDBOX REST endpoints are supported. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","DIRECT_REUSE","NONE_PROVISIONAL","No local master; optional approved read projection only","BLOCKED_PENDING_CONTRACT_AND_APPROVAL","UNASSIGNED: Product + G7 integration + data owner"
"FR-005","人车关系","driver-vehicle assignment; contract: 系统必须展示当前及历史人车绑定，支持创建、变更和解绑；创建前必须校验同一司机时间重叠、同车同身份时间重叠及结束时间晚于开始时间。","Driver Vehicle Assignments","POST/PATCH /drivers/vehicle_assignments; search/snapshot endpoints; target scopes ACTIVE and SANDBOX-supported; release maturity unverified","READ_WRITE","G7","WORKBENCH_INVENTORY_ONLY: relevant master-data and assignment read/write scopes are active and their SANDBOX REST endpoints are supported. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","DIRECT_REUSE","NONE_PROVISIONAL","Mapping/idempotency/audit only; no duplicate master","BLOCKED_PENDING_CONTRACT_AND_APPROVAL","UNASSIGNED: Product + G7 integration + data owner"
"FR-006","事实视图","vehicle facts and freshness; contract: 系统必须展示车辆位置/速度、车况和安全事件的快照、增量与历史；每项数据标明来源、发生时间、接收时间和新鲜度，历史查询遵守 G7 的范围与分页限制。","Vehicle stats, asset location/speed, events","vehicle/location scopes ACTIVE and SANDBOX-supported; safety REST ACTIVE in production but unsupported in SANDBOX","READ","G7","WORKBENCH_INVENTORY_ONLY: telemetry REST scopes are active and SANDBOX-supported; safety REST endpoints are not supported in SANDBOX, while a safety-event message scope is available. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","DIRECT_REUSE","NONE_PROVISIONAL","Optional bounded replayable read projection","BLOCKED_PENDING_CONTRACT_AND_APPROVAL","UNASSIGNED: Product + G7 integration + data owner"
"FR-007","派车工作","dispatch and in-transit orchestration; contract: 调度员必须能创建包含业务单号、线路/场站、计划时间、车辆、司机、责任人和备注的派车任务，并维护草稿、待确认、已派、在途、完成、取消状态。","assignments, sites, location, geofence, events, trip segments","assignment/site/location/geofence/trip scopes ACTIVE and SANDBOX-supported; /trips/_search remains DEVELOPING and feature-flag only","READ_WRITE","G7_FACTS_PRODUCT_WORKFLOW","WORKBENCH_INVENTORY_ONLY: assignment, site, address, geofence, telemetry and trip scopes are active and SANDBOX-supported; no order/dispatch workflow scope was found. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","COMPOSED_REUSE","G7-GAP-003","PROPOSED minimal dispatch/work state plus G7 mappings","BLOCKED_PENDING_CONTRACT_AND_APPROVAL","UNASSIGNED: Product + G7 integration + data owner"
"FR-008","派车校验与同步","dispatch and in-transit orchestration; contract: 系统必须在确认前校验权限、车辆可用性、司机/车辆时间冲突和必填资格；确认后以幂等方式同步 G7 人车绑定，失败时保留本地“待同步”状态并允许重试或撤销。","assignments, sites, location, geofence, events, trip segments","assignment/site/location/geofence/trip scopes ACTIVE and SANDBOX-supported; /trips/_search remains DEVELOPING and feature-flag only","READ_WRITE","G7_FACTS_PRODUCT_WORKFLOW","WORKBENCH_INVENTORY_ONLY: assignment, site, address, geofence, telemetry and trip scopes are active and SANDBOX-supported; no order/dispatch workflow scope was found. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","COMPOSED_REUSE","G7-GAP-003","PROPOSED minimal dispatch/work state plus G7 mappings","BLOCKED_PENDING_CONTRACT_AND_APPROVAL","UNASSIGNED: Product + G7 integration + data owner"
"FR-009","在途时间线","dispatch and in-transit orchestration; contract: 系统必须将计划节点、围栏进出、位置变化、事件、人工备注和任务动作合并为单一时间线；用户可从任一异常节点创建工作并关联责任人和时限。","assignments, sites, location, geofence, events, trip segments","assignment/site/location/geofence/trip scopes ACTIVE and SANDBOX-supported; /trips/_search remains DEVELOPING and feature-flag only","READ_WRITE","G7_FACTS_PRODUCT_WORKFLOW","WORKBENCH_INVENTORY_ONLY: assignment, site, address, geofence, telemetry and trip scopes are active and SANDBOX-supported; no order/dispatch workflow scope was found. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","COMPOSED_REUSE","G7-GAP-003","PROPOSED minimal dispatch/work state plus G7 mappings","BLOCKED_PENDING_CONTRACT_AND_APPROVAL","UNASSIGNED: Product + G7 integration + data owner"
"FR-010","风险收件箱","safety event closure; contract: 系统必须增量消费 G7 事件 Feed，并依据事件类型、速度、媒体、资产、司机、标签和组织规则进行去重、聚合与分级；默认支持超速、急加速、急减速和疲劳驾驶类事件。","event feed/history, media and local intervention","event/media production scopes ACTIVE; 14 safety and 7 media REST endpoints unsupported in SANDBOX; related message scopes available","READ","G7_FACTS_PRODUCT_WORKFLOW","WORKBENCH_INVENTORY_ONLY: safety/event REST scopes are active in production but 14 endpoints are unsupported in SANDBOX; media REST contributes 7 more unsupported endpoints. Related safety/media message scopes are available. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","COMPOSED_REUSE","G7-GAP-001","PROPOSED intervention/audit extension keyed by G7 event ID","BLOCKED_PENDING_CONTRACT_AND_APPROVAL","UNASSIGNED: Product + G7 integration + data owner"
