requirement_id,outcome,release_slice,work_item,design_ref,code_ref,test_ref,harness_gate,evidence_ref,status,owner
"RQ-001","产品是可直接办公的完整物流运输管理系统，不是概念展板或 AI 演示页","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-002","运输闭环覆盖订单、配载、调度、在途、异常、回单、结算与经营分析","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-003","管车覆盖资产、实时位置、安全、检查、健康、维修、证照、司机、油能和成本","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-004","物流老板、车队长、运营管理者、物流专员、调度、司机六类角色都能完成工作","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-005","司机使用独立 Driver Companion，支持弱网、异常、回单和行驶安全模式","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-006","全部业务界面和动作使用中文，保留必要的 G7、编码和车牌","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-007","交互参考 Codex 的稳定工作区、持久线程、上下文、进度、审批、恢复和结果验证","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-008","AI 不是旁边的聊天框；它要能调查、计划、起草、请求批准、调用工具和回读结果","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-009","AI 不暴露隐藏推理文本，只展示证据计划、来源、事实、冲突、未知、动作和结果","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-010","AI 写操作分级：只读、草稿、外部写入、停驶/敏感操作；高风险必须复核","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
